zipcode,population,year
10103,0,2016
10110,0,2016
10112,0,2016
10115,0,2016
10119,0,2016
10128,63006,2016
10152,0,2016
10153,0,2016
10154,0,2016
10162,1253,2016
10165,0,2016
10167,0,2016
10168,0,2016
10169,0,2016
10170,0,2016
10171,0,2016
10172,0,2016
10173,0,2016
10174,0,2016
10177,0,2016
10271,0,2017
10278,0,2017
10279,0,2017
10280,9820,2017
10282,5644,2017
10463,72863,2017
10001,23947,2017
10002,77925,2017
10003,55035,2017
10004,2990,2017
10005,8680,2017
10006,3579,2017
10007,7036,2017
10009,60141,2017
10010,33119,2017
10011,50711,2017
10012,24527,2017
10013,29619,2017
10014,31794,2017
10016,51448,2017
10017,16388,2017
10018,9719,2017
10019,41592,2017
10020,0,2017
10021,44983,2017
10022,30807,2017
10023,61514,2017
10024,58512,2017
10025,94382,2017
10026,40105,2017
10027,65365,2017
10028,50091,2017
10029,80866,2017
10030,30163,2017
10031,62382,2017
10032,63185,2017
10033,60810,2017
10034,44186,2017
10035,35366,2017
10036,26868,2017
10037,21184,2017
10038,22457,2017
10039,27203,2017
10040,46003,2017
10044,11945,2017
10065,29565,2017
10069,5195,2017
10075,22818,2017
10103,0,2017
10110,0,2017
10112,0,2017
10115,0,2017
10119,0,2017
10128,62743,2017
10152,0,2017
10153,0,2017
10154,0,2017
10162,1324,2017
10165,0,2017
10167,0,2017
10168,0,2017
10169,0,2017
10170,0,2017
10171,0,2017
10172,0,2017
10173,0,2017
10174,0,2017
10177,0,2017
10271,0,2018
10278,0,2018
10279,43,2018
10280,9384,2018
10282,5593,2018
10463,71360,2018
10001,22924,2018
10002,74993,2018
10003,54682,2018
10004,3028,2018
10005,8831,2018
10006,3454,2018
10007,7023,2018
10009,57925,2018
10010,33730,2018
10011,50472,2018
10012,23411,2018
10013,28709,2018
10014,30738,2018
10016,51057,2018
10017,15801,2018
10018,9687,2018
10019,43703,2018
10020,0,2018
10021,46215,2018
10022,31125,2018
10023,62435,2018
10024,59001,2018
10025,92805,2018
10026,39363,2018
10027,64548,2018
10028,47793,2018
10029,79597,2018
10030,29882,2018
10031,60254,2018
10032,64264,2018
10033,59607,2018
10034,42910,2018
10035,35743,2018
10036,27428,2018
10037,21139,2018
10038,22800,2018
10039,27726,2018
10040,44571,2018
10044,11682,2018
10065,28109,2018
10069,5085,2018
10075,21556,2018
10103,0,2018
10110,0,2018
10112,0,2018
10115,0,2018
10119,0,2018
10128,59256,2018
10152,0,2018
10153,0,2018
10154,0,2018
10162,1584,2018
10165,0,2018
10167,0,2018
10168,0,2018
10169,0,2018
10170,0,2018
10171,0,2018
10172,0,2018
10173,0,2018
10174,0,2018
10177,0,2018
