zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10002,2017-09,109.0,0.0,46.0,1219.0,10.0,10002 2017-09
10002,2017-10,139.0,0.0,118.0,249.0,21.0,10002 2017-10
10002,2017-11,69.0,0.0,22.0,24.0,24.0,10002 2017-11
10002,2017-12,111.0,0.0,10.0,11.0,10.0,10002 2017-12
10002,2018-01,101.0,0.0,7.0,152.0,12.0,10002 2018-01
10002,2018-02,115.0,0.0,28.0,154.0,16.0,10002 2018-02
10002,2018-03,120.0,0.0,51.0,618.0,17.0,10002 2018-03
10002,2018-04,126.0,0.0,45.0,258.0,22.0,10002 2018-04
10002,2018-05,141.0,0.0,24.0,143.0,26.0,10002 2018-05
10002,2018-06,142.0,0.0,50.0,526.0,32.0,10002 2018-06
10002,2018-07,82.0,0.0,36.0,145.0,13.0,10002 2018-07
10002,2018-08,36.0,0.0,19.0,132.0,16.0,10002 2018-08
10002,2018-09,59.0,0.0,15.0,642.0,16.0,10002 2018-09
10002,2018-10,111.0,0.0,108.0,254.0,20.0,10002 2018-10
10002,2018-11,68.0,0.0,23.0,142.0,10.0,10002 2018-11
10002,2018-12,114.0,0.0,47.0,508.0,16.0,10002 2018-12
10003,2010-01,4.0,0.0,3.0,6.0,3.0,10003 2010-01
10003,2010-02,2.0,0.0,4.0,301.0,3.0,10003 2010-02
10003,2010-03,2.0,0.0,22.0,3.0,12.0,10003 2010-03
10003,2010-04,7.0,0.0,64.0,946.0,14.0,10003 2010-04
10003,2010-05,20.0,0.0,43.0,16.0,15.0,10003 2010-05
10003,2010-06,32.0,0.0,6.0,199.0,11.0,10003 2010-06
10003,2010-07,21.0,0.0,14.0,22.0,3.0,10003 2010-07
10003,2010-08,13.0,0.0,1.0,346.0,5.0,10003 2010-08
10003,2010-09,9.0,0.0,2.0,1.0,9.0,10003 2010-09
10003,2010-10,9.0,0.0,6.0,11.0,8.0,10003 2010-10
10003,2010-11,9.0,0.0,13.0,22.0,14.0,10003 2010-11
10003,2010-12,3.0,0.0,12.0,21.0,1.0,10003 2010-12
10003,2011-01,2.0,0.0,7.0,2.0,4.0,10003 2011-01
10003,2011-02,0.0,0.0,5.0,309.0,5.0,10003 2011-02
10003,2011-03,13.0,0.0,25.0,3.0,3.0,10003 2011-03
10003,2011-04,11.0,0.0,7.0,593.0,4.0,10003 2011-04
10003,2011-05,18.0,0.0,43.0,354.0,12.0,10003 2011-05
10003,2011-06,22.0,0.0,39.0,152.0,4.0,10003 2011-06
10003,2011-07,10.0,0.0,10.0,64.0,7.0,10003 2011-07
10003,2011-08,4.0,0.0,10.0,309.0,8.0,10003 2011-08
